,ses
0,54.73299802802384
1,68.99903618538167
2,0.3279613261448027
3,2.155703676209204
4,1.856540376310583
5,32.99683943570063
6,4.5423049878193575
7,87.23332196609168
8,4.653490794170149
9,0.8063869894663862
10,13.23884429118956
11,127.81824277104492
12,136.23004281835645
13,359.6041567853957
14,24.032621967194398
15,224.56724926170156
16,0.1730357079119572
17,0.856357398853696
18,49.454295883765276
19,202.0335177447546
20,0.4460842493497378
21,2.0060836970611335
22,33.67142710545264
23,54.77321007178267
24,1.3012102630056832
25,28.03722891564674
26,57.063300150844256
27,0.5007152003572648
28,0.20637796392125282
29,30.836552427843795
30,11.4525116238129
31,103.96742594613961
32,32.61222860198093
33,75.79584547276868
34,0.09247062331608893
35,14.609346677831093
36,38.4347098539355
37,207.94167564321836
38,179.28793245190022
39,46.76394658194727
40,128.40574965215734
41,8.507979509064626
42,2.583522945006554
43,46.55781373354311
44,0.0016008244360279744
45,1.7355758724679622
46,118.75182716044084
47,127.37806881634906
48,121.10580539059495
49,41.730867269891206
50,0.003226648331276396
51,27.613591906445105
52,112.09909771596878
53,0.009394039348256384
54,54.93533689251999
55,260.84778049072355
56,15.297625120529776
57,1.101063530713901
58,212.52885390682752
59,49.064944483243934
60,0.01251583610863448
61,26.229118195818742
62,3.296851839570603
63,400.145483200034
64,113.17296058264215
65,134.45193518290375
66,119.25957725746935
67,0.031264045349941184
68,6.581678172885581
69,430.4597255117129
70,277.5117792888899
71,71.24679541925326
72,122.8951699344934
73,24.755369083702362
74,3.2719190498005317
75,15.579214197473025
76,143.0885070062697
77,105.84049541914924
78,473.250808024078
79,107.66802138195794
80,47.1512282947953
81,66.65758247320971
82,3.59599290482764
83,1.417186829758606
84,9.496200080816994
85,23.911037435470448
86,110.1915127902241
87,4.267069272675293
88,3.5438259778661907
89,16.70099542756074
90,3.2292949934202055
91,0.6816526661843946
92,1.162817979648799
93,40.908655501680336
94,44.80655507527277
95,8.955768939866685
96,23.665579265295626
97,85.5839936474711
98,301.9180204777544
99,61.70213418341872
