team, pts
WAS, 22.56
TOR, 23.89
UTA, 22.23
DET, 22.24
MEM, 21.08
ATL, 22.64
IND, 22.60
CLE, 21.84
LAL, 21.57
POR, 20.38
CHA, 22.17
LAC, 20.61
MIA, 21.66
GSW, 21.09
CHI, 21.20
PHI, 20.28
BKN, 21.30
NYK, 20.45
SAC, 22.12
MIL, 19.16
SAS, 19.16
PHX, 19.22
DAL, 19.19
HOU, 18.81
OKC, 19.69
MIN, 20.05
NOP, 19.20
BOS, 19.17
ORL, 19.56
DEN, 18.08
