team, pts
WAS, 23.81
SAS, 23.14
ATL, 23.68
DET, 23.46
UTA, 23.10
POR, 22.10
PHX, 21.85
LAL, 22.56
IND, 23.71
DAL, 22.52
BKN, 22.35
CHA, 20.42
MIL, 23.11
LAC, 22.68
MEM, 21.11
OKC, 22.70
TOR, 22.33
CHI, 22.14
HOU, 21.76
MIA, 21.22
NYK, 21.09
DEN, 21.25
SAC, 22.37
NOP, 21.19
GSW, 22.08
PHI, 21.66
ORL, 20.80
BOS, 20.52
CLE, 19.82
MIN, 19.40
