team, pts
UTA, 24.24
SAS, 26.94
WAS, 24.71
LAL, 25.72
MIL, 25.89
POR, 25.75
CHA, 24.33
PHX, 24.94
DET, 24.37
ATL, 24.98
GSW, 23.91
MEM, 23.98
TOR, 23.18
HOU, 26.06
ORL, 25.61
BKN, 25.72
DAL, 23.93
LAC, 25.70
PHI, 23.43
SAC, 23.11
OKC, 22.63
MIN, 23.52
NOP, 24.78
BOS, 24.40
IND, 24.18
CLE, 23.14
MIA, 22.60
CHI, 23.04
NYK, 22.84
DEN, 22.36
